element,ion_state,wavelength,Ei,Ek,gi,gk,Ak,emissivity,channel,pixel,half_px,step_nm,interference,rel_emissivity,status,snr,selected,response_ln
Fe,II,585.419,10.7370057,12.8542909,6.0,8.0,18800000.0,9.564616604425346e-05,2,7330,3,0.06201171875,6.986015240122463e-05,1.0342337024234754e-06,implausible,,False,
Fe,II,587.177,10.8288892,12.9398343,12.0,14.0,7300000.0,5.803182221784811e-05,2,7361,3,0.06201171875,0.0,6.275051978871445e-07,implausible,,False,
Fe,II,587.853,10.9179622,13.0264775,6.0,8.0,1600000.0,6.492433677736237e-06,2,7373,3,0.06201171875,0.0,7.020348015996023e-08,implausible,,False,
Fe,II,588.502,10.7507828,12.8569773,4.0,6.0,64000000.0,0.00024208367679341496,2,7385,3,0.06201171875,0.0,2.6176804330086804e-06,implausible,,False,
Fe,II,589.534,10.7507828,12.8532884,4.0,4.0,6100000.0,1.5428684132564474e-05,2,7403,3,0.06201171875,1451.9929832995128,1.6683225030223983e-07,implausible,,False,
Fe,II,589.803,10.7507828,12.8523307,4.0,6.0,11800000.0,4.4803349957885e-05,2,7408,3,0.06201171875,23.072195593928356,4.84464107912897e-07,implausible,,False,
Fe,II,590.282,10.7142644,12.8141045,8.0,10.0,50000000.0,0.00033212410813027437,2,7416,3,0.06201171875,0.040457992700038095,3.5912986397880393e-06,implausible,,False,
Fe,II,590.352,10.7507828,12.850374,4.0,4.0,5300000.0,1.3437074742241303e-05,2,7417,3,0.06201171875,24.71699491900542,1.4529673415220123e-07,implausible,,False,
Fe,II,594.439,10.6780583,12.7632131,10.0,8.0,3200000.0,1.8031030045994434e-05,2,7490,3,0.06201171875,0.0,1.9497173524289075e-07,implausible,,False,
Fe,II,594.842,10.7370057,12.8207506,6.0,6.0,19700000.0,7.724744719054783e-05,2,7498,3,0.06201171875,5.410855130769987,8.352861030904039e-07,implausible,,False,
Fe,II,595.57,10.7370057,12.8182037,6.0,8.0,42000000.0,0.00022003965227671235,2,7511,3,0.06201171875,0.0,2.3793156972839393e-06,implausible,,False,
Fe,II,596.171,10.6780583,12.7571589,10.0,12.0,74000000.0,0.0006285215729982654,2,7521,3,0.06201171875,0.0,6.796280712331573e-06,implausible,,False,
Fe,II,596.393,10.6780583,12.7563835,10.0,8.0,2400000.0,1.3598185635679775e-05,2,7525,3,0.06201171875,0.0,1.470388459661189e-07,implausible,,False,
