config_id,scaling,n_bins,n_pc,hidden,alpha,balance,precision_macro,precision_macro_std,recall_macro,recall_macro_std,f1_macro,f1_macro_std,f1_weighted,f1_weighted_std,accuracy,accuracy_std
88,center,8,50,"(64,)",0.1,False,0.5616609478757816,0.02084379943981596,0.5177106227106227,0.007362409560377954,0.5312804297649295,0.009235503371496994,0.5722291701203845,0.02229078255118361,0.5777777777777778,0.025760051376376967
89,center,8,50,"(64,)",0.1,True,0.5548509305287401,0.016158713657428547,0.5278571428571429,0.004834540419221711,0.5367131518583391,0.008446865051732743,0.5689687609885176,0.01328714954293205,0.5722222222222222,0.014163943093313291
90,center,8,50,"(128, 64)",0.001,False,0.5638803403939702,0.05130092823161479,0.5214102564102564,0.024902754687510183,0.534874170695309,0.030716186896737233,0.5777235364254335,0.02766717961226837,0.5833333333333334,0.029658550700086973
91,center,8,50,"(128, 64)",0.001,True,0.5603940021331325,0.018768955477689964,0.5252380952380952,0.009562158631742803,0.536301523927541,0.005999275670013685,0.5771473012727887,0.012080175156515115,0.5833333333333334,0.01360827634879543
92,center,8,50,"(128, 64)",0.01,False,0.5632750321043004,0.05503930774810166,0.5230769230769231,0.02724757720072709,0.535636774747886,0.033653556273247925,0.5805098961395257,0.03139441711680333,0.5861111111111111,0.03356401659331824
93,center,8,50,"(128, 64)",0.01,True,0.5661686077669472,0.016243722934983607,0.5303663003663003,0.014924458802303914,0.5408987460598366,0.007071177283591789,0.5797311232991245,0.009738811361703273,0.5861111111111111,0.01039349274103873
94,center,8,50,"(128, 64)",0.1,False,0.5595045205149735,0.058476079662920045,0.5246336996336997,0.04162917042460225,0.5342020014481054,0.045071717922248136,0.5746803266996953,0.03717551862921828,0.5777777777777778,0.037474271008977864
95,center,8,50,"(128, 64)",0.1,True,0.5680882878797747,0.03894093207641738,0.5303663003663003,0.006814417550031452,0.5412337336320171,0.013077616281276318,0.5805329946955925,0.013115971699465512,0.5861111111111111,0.01712337223046936
96,center,12,10,"(64,)",0.001,False,0.3285149912294795,0.012850992272470468,0.3127655677655678,0.008237157853235607,0.3140735312957267,0.006418852982974423,0.3996415516785439,0.015868791622960142,0.4083333333333334,0.020412414523193145
97,center,12,10,"(64,)",0.001,True,0.3469827768612935,0.012432281991453473,0.32778388278388276,0.006862830676961397,0.3308023859658839,0.005388310800770669,0.4085309345328996,0.006224124032066546,0.4166666666666667,0.006804138174397715
